X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE,Staff FT (program and maintenance),Staff PT
-75.12093218,40.02161957,67,Feltonville Recreation Center,1853,PPR_REC,A,Y,Y,39, ,Programs 9/2021,3,1
-75.09312462,40.02152856,68,Private Alfred J Simpson Memorial Recreation Center,1954,PPR_REC,A,Y,Y,128, ,Programs 9/2021,3,1
-75.21135314,40.02882834,72,W Freeland Kendrick Recreation Center,1885,PPR_REC,A,Y,Y,71, ,Programs 9/2021,3,1
-75.0542344,40.02582097,73,Franklin Delano Roosevelt Playground,1943,PPR_REC,A,Y,N,114, ,Programs 9/2021,3,1
-75.04916539,40.02812492,74,Joseph F Vogt Playground,1968,PPR_REC,A,Y,Y,139, ,Programs 9/2021,3,1
-75.04404779,40.02838246,75,Disston Recreation Center,1847,PPR_REC,A,Y,Y,33, ,Programs 9/2021,3,1
-75.09367576,40.02970474,77,Edward Houseman Playground,1875,PPR_REC,A,Y,Y,62, ,Programs 9/2021,3,1
-75.22908718,40.03395115,80,Hillside Recreation Center,1872,PPR_REC,A,Y,Y,59, ,Programs 9/2021,3,1
-75.07038813,40.03874115,86,Max Myers Playground,1904,PPR_REC,A,Y,N,83, ,Programs 9/2021,3,1
-75.15630331,40.0421738,87,Belfield Recreation Center,1815,PPR_REC,A,Y,Y,12, ,Programs 9/2021,3,1
-75.08218162,40.04072222,88,Seymour Tarken Recreation Center,1962,PPR_REC,A,Y,N,134,Tarkan Ice Rink is a separate buliding on the same site.,Programs 9/2021,3,1
-75.05308337,40.03988168,89,Mayfair Recreation Center,1905,PPR_REC,A,Y,Y,84, ,Programs 9/2021,3,1
-75.11687037,40.04253855,90,Olney Recreation Center,1924,PPR_REC,A,Y,Y,101,Closed for Rebuild ,Programs 9/2021,3,1
-75.16868647,40.0454222,91,Waterview Recreation Center,1980,PPR_REC,A,Y,Y,142, ,Programs 9/2021,3,1
-75.10132019,40.04615633,92,Lawncrest Recreation Center,1891,PPR_REC,A,Y,Y,74, ,Programs 9/2021,3,1
-75.07642177,40.05623383,100,Thomas E Jardel Memorial Field,1879,PPR_REC,A,Y,Y,67, ,Programs 9/2021,3,1
-75.15748535,40.06157006,102,William B Simons Recreation Center,1953,PPR_REC,A,Y,Y,127, ,Programs 9/2021,3,1
-75.05077936,40.06174095,103,George C Pelbano Playground,1987,PPR_REC,A,Y,Y,107, ,Programs 9/2021,3,1
-75.20049791,40.07537903,106,Water Tower Recreation Center,1979,PPR_REC,A,Y,Y,140, ,Programs 9/2021,3,1
-75.08167881,40.07419483,107,Fox Chase Recreation Center,1857,PPR_REC,A,Y,Y,44, ,Programs 9/2021,3,1
-75.17566252,40.08145064,108,Dorothy Emanuel Recreation Center,1849,PPR_REC,A,Y,Y,38, ,Programs 9/2021,3,1
-74.97401896,40.08011207,109,Corporal Jimmy OConnor Memorial Playground,1826,PPR_REC,A,Y,N,19,"Gym nearby is NOT PPR, it is an athletic association building. Formerly Chalfont Playground",Programs 9/2021,3,1
-75.15956395,40.04999922,117,Lonnie Young Recreation Center of East Germantown,1897,PPR_REC,A,Y,Y,77, ,Programs 9/2021,3,1
-75.22848905,39.93462566,120,Francis J Myers Recreation Center,1858,PPR_REC,A,Y,Y,98, ,Programs 9/2021,3,1
-75.19086662,39.9637683,125,James L Wright Playground,1975,PPR_REC,A,Y,Y,148, ,Programs 9/2021,3,1
-75.16755266,39.99366032,126,Cecil B Moore Recreation Center,1825,PPR_REC,A,Y,Y,18, ,Programs 9/2021,3,1
-75.14593696,39.93479863,128,Shot Tower Recreation Center,969,PPR_REC,A,Y,Y,125, ,Programs 9/2021,3,1
-75.24910303,39.95819632,133,Johnny Sample Recreation Center,1836,PPR_REC,A,Y,Y,26,Located in Cobbs Creek Park,Programs 1/2022,3,1
-75.23417965,39.96726986,136,Haddington-Marshall L Shepard Sr Recreation Center,1952,PPR_REC,A,Y,Y,123, ,Programs 9/2021,3,1
-75.21270627,39.97925153,138,Carousel House Recreation Center,1824,PPR_REC,A,Y,Y,17,Located in West Fairmount Park. Currently closed for Rebuild.,Programs 9/2021,3,1
-75.13510968,39.97839894,139,Michael J Towey Playground,1964,PPR_REC,A,Y,Y,136, ,Programs 9/2021,3,1
-75.18676969,40.00879634,142,Harry S McDevitt Playground,1906,PPR_REC,A,Y,Y,87, ,Programs 9/2021,3,1
-75.1786677,39.97795136,146,Athletic Recreation Center,1811,PPR_REC,A,Y,Y,7, ,Programs 9/2021,3,1
-75.13818642,39.9890714,148,Frank S Nelson Jr Memorial Recreation Center,1988,PPR_REC,A,Y,N,99,2019-2020 Renovations,Programs 9/2021,3,1
-75.1634348,39.92627489,173,East Passyunk Community Recreation Center,1963,PPR_REC,A,Y,Y,0, ,Programs 9/2021,3,1
-75.14542678,39.93274882,178,Ralph R Rizzo Sr Ice Rink,1407,PPR_REC,A,Y,N,, ,Programs 9/2021,3,1
-75.16363419,40.05386267,1,Awbury Park and Recreation Center,604,PPR_REC,B,Y,N,8, ,Programs 9/2021,1,1
-75.00751075,40.12284317,2,Daniel Boyle Memorial Recreation Center,1843,PPR_REC,B,Y,N,13, ,Programs 9/2021,1,1
-75.17476354,40.00222123,4,James Allen Shuler Playground,1878,PPR_REC,B,Y,N,126, ,Programs 9/2021,1,1
-75.23856601,39.95669258,6,Howard Sayre Morris Recreation Center,1949,PPR_REC,B,Y,N,119, ,Programs 9/2021,1,1
-75.10129625,39.98646601,9,Frank Glavin Playground,1860,PPR_REC,B,Y,N,49, ,Programs 9/2021,1,1
-75.18509125,39.96905477,10,Lloyd Hall Recreation Center,997,PPR_REC,B,Y,Y,76,Located in East Fairmount Park,Programs 9/2021,1,1
-75.23324251,39.99521825,11,John C Anderson Cultural Center,3479,PPR_REC,B,Y,N,69, ,Programs 9/2021,1,1
-75.248617,39.90816103,12,William A Cibotti Recreation Center,498,PPR_REC,B,Y,N,23, ,Programs 9/2021,1,1
-75.23174319,39.9152726,13,J Francis Finnegan Playground,95,PPR_REC,B,Y,N,66, ,Programs 9/2021,1,1
